game_id,title,review_count,est_units_boxleiter_low,est_units_boxleiter_mid,est_units_boxleiter_high,est_units_gamalytic,est_units_low,est_units_mid,est_units_high,est_units_source,units_gamalytic_vs_boxleiter,est_revenue_gross_mid,confidence_class,src_est,method
1637320,Dome Keeper,22051,441020,661530,882040,1700000,1000000,1700000,2300000,manual,2.57,14700000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
252410,SteamWorld Dig,10964,219280,328920,438560,680700,403600,680700,957800,manual,2.07,2300000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
571310,SteamWorld Dig 2,9067,181340,272010,362680,213600,133400,213600,293800,manual,0.79,1100000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1106840,Hydroneer,28339,566780,850170,1133560,1100000,780300,1100000,1500000,manual,1.29,10300000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1621690,Core Keeper,65869,1317380,1976070,2634760,3800000,2400000,3800000,5200000,manual,1.92,43900000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
881100,Noita,88302,1766040,2649060,3532080,4099999,2800000,4099999,5500000,manual,1.55,45600000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1457320,Techtonica,3245,64900,97350,129800,212800,146800,212800,278800,manual,2.19,4400000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
2392740,Cave Digger 2,34,680,1020,1360,1100,666,1100,1600,manual,1.08,10600,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
606150,Moonlighter,22797,455940,683910,911880,1500000,938500,1500000,2000000,manual,2.19,9800000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
361420,ASTRONEER,138885,2777700,4166550,5555400,5300000,3900000,5300000,6600000,manual,1.27,75600000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
751780,Forager,43917,878340,1317510,1756680,1700000,1200000,1700000,2200000,manual,1.29,21000000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1087760,The Gunk,5924,118480,177720,236960,220700,131400,220700,310100,manual,1.24,1200000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
548430,Deep Rock Galactic,378832,7576640,11364960,15153280,11700000,8600000,11700000,14900000,manual,1.03,136200000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
105600,Terraria,1543651,30873020,46309530,61746040,35900000,25800000,35900000,46000000,manual,0.78,179400000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
892970,Valheim,539716,10794320,16191480,21588640,16800000,12500000,16800000,21000000,manual,1.04,208400000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1167630,Teardown,134431,2688620,4032930,5377240,3400000,2500000,3400000,4300000,manual,0.84,59500000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
753640,Outer Wilds,106269,2125380,3188070,4250760,3000000,2000000,3000000,4000000,manual,0.94,44400000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1203620,Enshrouded,104322,2086440,3129660,4172880,5100000,3600000,5100000,6500000,manual,1.63,120800000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
962130,Grounded,95292,1905840,2858760,3811680,4500000,3100000,4500000,6000000,manual,1.57,111600000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1641960,Forever Skies,8839,176780,265170,353560,431300,305100,431300,557600,manual,1.63,9000000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1159690,Voidtrain,9765,195300,292950,390600,669100,445400,669100,892700,manual,2.28,13400000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
251570,7 Days to Die,407115,8142300,12213450,16284600,15500000,11200000,15500000,19700000,manual,1.27,157000000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
427410,Abiotic Factor,57984,1159680,1739520,2319360,1800000,1300000,1800000,2300000,manual,1.03,40400000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1374490,RuneScape: Dragonwilds,28766,575320,862980,1150640,1400000,1000000,1400000,1800000,manual,1.62,36700000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1645820,SurrounDead,26254,525080,787620,1050160,1200000,794200,1200000,1700000,manual,1.52,10500000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
221100,DayZ,467166,9343320,14014980,18686640,12500000,7600000,12500000,17400000,manual,0.89,317000000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1898300,ASKA,12025,240500,360750,481000,592500,423000,592500,762100,manual,1.64,10000000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
1149460,ICARUS,66993,1339860,2009790,2679720,2900000,1800000,2900000,4000000,manual,1.44,48300000,EST,S050,units low/mid/high entered by hand from Gamalytic; revenue=Gamalytic GROSS
