game_id,title,copies_mid,copies_low,copies_high,revenue_gross_mid,revenue_gross_low,revenue_gross_high,displayed_copies,displayed_revenue,captured_date,confidence_class,src_est
1637320,Dome Keeper,1700000,1000000,2300000,14700000,8900000,20400000,1.7m (1m - 2.3m),$14.7m ($8.9m - $20.4m),2026-08-12,EST,S055
252410,SteamWorld Dig,680700,403600,957800,2300000,1400000,3300000,680.7k (403.6k - 957.8k),$2.3m ($1.4m - $3.3m),2026-08-12,EST,S055
571310,SteamWorld Dig 2,213600,133400,293800,1100000,731800,1600000,213.6k (133.4k - 293.8k),$1.1m ($731.8k - $1.6m),2026-08-12,EST,S055
1106840,Hydroneer,1100000,780300,1500000,10300000,6800000,13800000,1.1m (780.3k - 1.5m),$10.3m ($6.8m - $13.8m),2026-08-12,EST,S055
1621690,Core Keeper,3800000,2400000,5200000,43900000,28200000,59700000,3.8m (2.4m - 5.2m),$43.9m ($28.2m - $59.7m),2026-08-12,EST,S055
881100,Noita,4099999,2800000,5500000,45600000,31100000,60100000,4.1m (2.8m - 5.5m),$45.6m ($31.1m - $60.1m),2026-08-12,EST,S055
1457320,Techtonica,212800,146800,278800,4400000,3000000,5700000,212.8k (146.8k - 278.8k),$4.4m ($3m - $5.7m),2026-08-12,EST,S055
2392740,Cave Digger 2,1100,666,1600,10600,6200,15000,1.1k (666 - 1.6k),$10.6k ($6.2k - $15k),2026-08-12,EST,S055
606150,Moonlighter,1500000,938500,2000000,9800000,6100000,13500000,1.5m (938.5k - 2m),$9.8m ($6.1m - $13.5m),2026-08-12,EST,S055
361420,ASTRONEER,5300000,3900000,6600000,75600000,56400000,94800000,5.3m (3.9m - 6.6m),$75.6m ($56.4m - $94.8m),2026-08-12,EST,S055
751780,Forager,1700000,1200000,2200000,21000000,15100000,26900000,1.7m (1.2m - 2.2m),$21m ($15.1m - $26.9m),2026-08-12,EST,S055
1087760,The Gunk,220700,131400,310100,1200000,745500,1700000,220.7k (131.4k - 310.1k),$1.2m ($745.5k - $1.7m),2026-08-12,EST,S055
548430,Deep Rock Galactic,11700000,8600000,14900000,136200000,99400000,172900000,11.7m (8.6m - 14.9m),$136.2m ($99.4m - $172.9m),2026-08-12,EST,S055
105600,Terraria,35900000,25800000,46000000,179400000,129000000,229800000,35.9m (25.8m - 46m),$179.4m ($129m - $229.8m),2026-08-12,EST,S055
892970,Valheim,16800000,12500000,21000000,208400000,156200000,260500000,16.8m (12.5m - 21m),$208.4m ($156.2m - $260.5m),2026-08-12,EST,S055
1167630,Teardown,3400000,2500000,4300000,59500000,43900000,75100000,3.4m (2.5m - 4.3m),$59.5m ($43.9m - $75.1m),2026-08-12,EST,S055
753640,Outer Wilds,3000000,2000000,4000000,44400000,30300000,58600000,3m (2m - 4m),$44.4m ($30.3m - $58.6m),2026-08-12,EST,S055
1203620,Enshrouded,5100000,3600000,6500000,120800000,85800000,155800000,5.1m (3.6m - 6.5m),$120.8m ($85.8m - $155.8m),2026-08-12,EST,S055
962130,Grounded,4500000,3100000,6000000,111600000,76000000,147100000,4.5m (3.1m - 6m),$111.6m ($76m - $147.1m),2026-08-12,EST,S055
1641960,Forever Skies,431300,305100,557600,9000000,6300000,11600000,431.3k (305.1k - 557.6k),$9m ($6.3m - $11.6m),2026-08-12,EST,S055
1159690,Voidtrain,669100,445400,892700,13400000,8900000,17900000,669.1k (445.4k - 892.7k),$13.4m ($8.9m - $17.9m),2026-08-12,EST,S055
251570,7 Days to Die,15500000,11200000,19700000,157000000,114100000,199900000,15.5m (11.2m - 19.7m),$157m ($114.1m - $199.9m),2026-08-12,EST,S055
427410,Abiotic Factor,1800000,1300000,2300000,40400000,28800000,52000000,1.8m (1.3m - 2.3m),$40.4m ($28.8m - $52m),2026-08-12,EST,S055
1374490,RuneScape: Dragonwilds,1400000,1000000,1800000,36700000,26400000,47100000,1.4m (1m - 1.8m),$36.7m ($26.4m - $47.1m),2026-08-12,EST,S055
1645820,SurrounDead,1200000,794200,1700000,10500000,6600000,14500000,1.2m (794.2k - 1.7m),$10.5m ($6.6m - $14.5m),2026-08-12,EST,S055
221100,DayZ,12500000,7600000,17400000,317000000,194300000,439700000,12.5m (7.6m - 17.4m),$317m ($194.3m - $439.7m),2026-08-12,EST,S055
1149460,ICARUS,2900000,1800000,4000000,48300000,30900000,65599999,2.9m (1.8m - 4m),$48.3m ($30.9m - $65.6m),2026-08-12,EST,S055
1898300,ASKA,592500,423000,762100,10000000,7100000,12800000,592.5k (423k - 762.1k),$10m ($7.1m - $12.8m),2026-08-12,EST,S055
