game_id,steam_appid,title,developer,publisher,release_date_raw,release_date,is_free,base_price_usd,current_price_usd,discount_pct_usd,base_price_eur,current_price_eur,discount_pct_eur,price_region_eur,price_retrieved,genres,steam_top_tags,platforms,review_count_total,review_count_all,review_bombed,review_positive_pct,review_desc,review_curve_coverage,curve_capture_pct,curve_first_week,reviews_start_week,pre_launch_reviews,steamspy_owners_est,retrieved_date
1637320,1637320,Dome Keeper,Bippinbits,Raw Fury,"Sep 27, 2022",2022-09-27,False,17.99,17.99,0,17.99,17.99,0,fi,2026-08-10,"Action, Adventure, Indie, Simulation","Singleplayer, Post-apocalyptic, Rogue-like, Action, Sci-fi, Combat, Resource Management, Tower Defense","windows, mac, linux",22052,22052,0,0.923,Very Positive,full,1.0,0,0,0,"2,000,000 .. 5,000,000",2026-08-10
252410,252410,SteamWorld Dig,Image & Form Games,Image & Form Games,"Dec 5, 2013",2013-12-05,False,9.99,9.99,0,9.99,9.99,0,fi,2026-08-10,"Action, Adventure, Indie","Platformer, Mining, Steampunk, Metroidvania, Indie, Adventure, Western, 2D","windows, mac, linux",10964,10964,0,0.936,Very Positive,full,1.0,0,0,0,"500,000 .. 1,000,000",2026-08-10
571310,571310,SteamWorld Dig 2,Image & Form Games,Image & Form Games,"Sep 22, 2017",2017-09-22,False,19.99,19.99,0,19.99,19.99,0,fi,2026-08-10,"Action, Adventure, Indie","Adventure, Metroidvania, Indie, Action, Platformer, Mining, 2D, Steampunk","windows, mac, linux",9067,9067,0,0.955,Overwhelmingly Positive,full,1.0,0,0,0,"200,000 .. 500,000",2026-08-10
1106840,1106840,Hydroneer,Foulball Hangover,Foulball Hangover,"May 8, 2020",2020-05-08,False,14.99,14.99,0,15.49,15.49,0,fi,2026-08-10,"Adventure, Casual, Indie, Simulation, Strategy","Base-Building, Mining, Automation, Sandbox, Co-op, Open World, Multiplayer, Building",windows,28340,28340,0,0.857,Very Positive,full,1.0,0,0,0,"1,000,000 .. 2,000,000",2026-08-10
1621690,1621690,Core Keeper,Pugstorm,Fireshine Games; bilibili,"Aug 27, 2024",2024-08-27,False,19.99,19.99,0,19.99,19.99,0,fi,2026-08-10,"Action, Adventure, Indie, RPG, Simulation","Pixel Graphics, Open World Survival Craft, Online Co-Op, Sandbox, Survival, Adventure, Crafting, Exploration","windows, linux",65870,65870,0,0.93,Very Positive,full,1.0,-129,-129,33250,"1,000,000 .. 2,000,000",2026-08-10
881100,881100,Noita,Nolla Games,Nolla Games,"Oct 15, 2020",2020-10-15,False,19.99,19.99,0,18.99,18.99,0,fi,2026-08-10,"Action, Adventure, Indie, RPG, Simulation","Physics, Rogue-like, Pixel Graphics, Difficult, Dungeon Crawler, Indie, Open World, Sandbox",windows,88301,88301,0,0.952,Overwhelmingly Positive,full,1.0,-56,-56,14802,"2,000,000 .. 5,000,000",2026-08-10
1457320,1457320,Techtonica,Fire Hose Games,Fire Hose Games,"Nov 7, 2024",2024-11-07,False,29.99,29.99,0,28.99,28.99,0,fi,2026-08-10,"Indie, Simulation, Strategy","Automation, Simulation, Building, Base-Building, Strategy, Resource Management, Sandbox, City Builder",windows,3245,3245,0,0.648,Mixed,full,1.0,-69,-69,1984,"100,000 .. 200,000",2026-08-10
2392740,2392740,Cave Digger 2,VRKiwi,VRKiwi,"Nov 15, 2023",2023-11-15,False,14.99,7.49,50,14.99,7.49,50,fi,2026-08-10,"Action, Adventure, Casual","Exploration, Looter Shooter, FPS, Western, Dungeon Crawler, Action, Hidden Object, Casual","windows, mac, linux",34,34,0,0.706,Mostly Positive,full,1.0,0,0,0,"0 .. 20,000",2026-08-10
606150,606150,Moonlighter,Digital Sun,11 bit studios,"May 29, 2018",2018-05-29,False,19.99,19.99,0,19.99,19.99,0,fi,2026-08-10,"Action, Adventure, Indie","Hack and Slash, Pixel Graphics, Dungeon Crawler, Rogue-lite, Action Roguelike, Rogue-like, RPG, Management","windows, mac, linux",22791,22791,0,0.816,Very Positive,full,1.0,0,0,0,"2,000,000 .. 5,000,000",2026-08-10
361420,361420,ASTRONEER,System Era Softworks,System Era Softworks,"Feb 5, 2019",2019-02-05,False,29.99,29.99,0,29.99,29.99,0,fi,2026-08-10,"Adventure, Indie","Multiplayer, Open World, Open World Survival Craft, Survival, Space, Exploration, Base-Building, Co-op",windows,138883,138883,0,0.919,Very Positive,full,1.0,-112,-112,25811,"2,000,000 .. 5,000,000",2026-08-10
