game_id,title,gs_language,language,revenue_pct,copies_pct,supported,captured_date,confidence_class,src_est
1637320,Dome Keeper,English,english,66.0,60.0,1,2026-08-12,EST,S051
1637320,Dome Keeper,Traditional Chinese,chinese_all,6.0,10.0,1,2026-08-12,EST,S051
1637320,Dome Keeper,Spanish,spanish,4.0,3.0,1,2026-08-12,EST,S051
1637320,Dome Keeper,French,french,4.0,3.0,1,2026-08-12,EST,S051
1637320,Dome Keeper,German,german,4.0,3.0,1,2026-08-12,EST,S051
1637320,Dome Keeper,Others,other,4.0,4.0,0,2026-08-12,EST,S051
1637320,Dome Keeper,Russian,russian,4.0,8.0,1,2026-08-12,EST,S051
1637320,Dome Keeper,Korean,koreana,2.0,3.0,1,2026-08-12,EST,S051
1637320,Dome Keeper,Brazilian Portuguese,brazilian,2.0,3.0,1,2026-08-12,EST,S051
1637320,Dome Keeper,Turkish,turkish,2.0,1.0,1,2026-08-12,EST,S051
1637320,Dome Keeper,Polish,polish,2.0,1.0,1,2026-08-12,EST,S051
252410,SteamWorld Dig,English,english,57.0,51.0,1,2026-08-12,EST,S051
252410,SteamWorld Dig,Russian,russian,9.0,14.0,1,2026-08-12,EST,S051
252410,SteamWorld Dig,Spanish,spanish,8.0,7.0,1,2026-08-12,EST,S051
252410,SteamWorld Dig,Brazilian Portuguese,brazilian,6.0,7.0,1,2026-08-12,EST,S051
252410,SteamWorld Dig,German,german,4.0,4.0,1,2026-08-12,EST,S051
252410,SteamWorld Dig,Others,other,4.0,5.0,0,2026-08-12,EST,S051
252410,SteamWorld Dig,Traditional Chinese,chinese_all,4.0,4.0,0,2026-08-12,EST,S051
252410,SteamWorld Dig,French,french,3.0,3.0,1,2026-08-12,EST,S051
252410,SteamWorld Dig,Polish,polish,2.0,2.0,1,2026-08-12,EST,S051
252410,SteamWorld Dig,Italian,italian,1.0,1.0,1,2026-08-12,EST,S051
252410,SteamWorld Dig,Turkish,turkish,1.0,1.0,0,2026-08-12,EST,S051
252410,SteamWorld Dig,Korean,koreana,1.0,1.0,0,2026-08-12,EST,S051
571310,SteamWorld Dig 2,English,english,58.0,50.0,1,2026-08-12,EST,S051
571310,SteamWorld Dig 2,Russian,russian,9.0,15.0,1,2026-08-12,EST,S051
571310,SteamWorld Dig 2,Spanish,spanish,8.0,6.0,1,2026-08-12,EST,S051
571310,SteamWorld Dig 2,Traditional Chinese,chinese_all,7.0,9.0,0,2026-08-12,EST,S051
571310,SteamWorld Dig 2,Others,other,5.0,5.0,0,2026-08-12,EST,S051
571310,SteamWorld Dig 2,German,german,4.0,3.0,1,2026-08-12,EST,S051
571310,SteamWorld Dig 2,Brazilian Portuguese,brazilian,4.0,6.0,0,2026-08-12,EST,S051
571310,SteamWorld Dig 2,French,french,2.0,2.0,1,2026-08-12,EST,S051
571310,SteamWorld Dig 2,Polish,polish,2.0,2.0,0,2026-08-12,EST,S051
571310,SteamWorld Dig 2,Turkish,turkish,1.0,1.0,0,2026-08-12,EST,S051
1106840,Hydroneer,English,english,73.0,72.0,1,2026-08-12,EST,S051
1106840,Hydroneer,German,german,7.0,7.0,1,2026-08-12,EST,S051
1106840,Hydroneer,Others,other,5.0,5.0,0,2026-08-12,EST,S051
1106840,Hydroneer,Czech,czech,4.0,3.0,1,2026-08-12,EST,S051
1106840,Hydroneer,French,french,3.0,3.0,1,2026-08-12,EST,S051
1106840,Hydroneer,Polish,polish,2.0,2.0,1,2026-08-12,EST,S051
1106840,Hydroneer,Russian,russian,1.0,3.0,1,2026-08-12,EST,S051
1106840,Hydroneer,Traditional Chinese,chinese_all,1.0,2.0,0,2026-08-12,EST,S051
1106840,Hydroneer,Swedish,swedish,1.0,1.0,1,2026-08-12,EST,S051
1106840,Hydroneer,Dutch,dutch,1.0,1.0,1,2026-08-12,EST,S051
1106840,Hydroneer,Brazilian Portuguese,brazilian,1.0,2.0,1,2026-08-12,EST,S051
1621690,Core Keeper,English,english,54.0,47.0,1,2026-08-12,EST,S051
1621690,Core Keeper,Traditional Chinese,chinese_all,10.0,16.0,1,2026-08-12,EST,S051
1621690,Core Keeper,Korean,koreana,7.0,8.0,1,2026-08-12,EST,S051
1621690,Core Keeper,Spanish,spanish,7.0,5.0,1,2026-08-12,EST,S051
1621690,Core Keeper,German,german,6.0,4.0,1,2026-08-12,EST,S051
1621690,Core Keeper,Others,other,4.0,4.0,0,2026-08-12,EST,S051
1621690,Core Keeper,French,french,3.0,2.0,1,2026-08-12,EST,S051
1621690,Core Keeper,Russian,russian,2.0,5.0,1,2026-08-12,EST,S051
1621690,Core Keeper,Brazilian Portuguese,brazilian,2.0,3.0,1,2026-08-12,EST,S051
1621690,Core Keeper,Japanese,japanese,2.0,2.0,1,2026-08-12,EST,S051
1621690,Core Keeper,Polish,polish,2.0,1.0,0,2026-08-12,EST,S051
1621690,Core Keeper,Thai,thai,1.0,2.0,1,2026-08-12,EST,S051
881100,Noita,English,english,67.0,59.0,1,2026-08-12,EST,S051
881100,Noita,Traditional Chinese,chinese_all,12.0,15.0,0,2026-08-12,EST,S051
881100,Noita,Russian,russian,6.0,12.0,1,2026-08-12,EST,S051
881100,Noita,Others,other,3.0,3.0,0,2026-08-12,EST,S051
881100,Noita,German,german,2.0,2.0,1,2026-08-12,EST,S051
881100,Noita,Spanish,spanish,2.0,2.0,1,2026-08-12,EST,S051
881100,Noita,Polish,polish,2.0,2.0,1,2026-08-12,EST,S051
881100,Noita,Korean,koreana,2.0,2.0,1,2026-08-12,EST,S051
881100,Noita,French,french,2.0,1.0,1,2026-08-12,EST,S051
881100,Noita,Japanese,japanese,1.0,1.0,1,2026-08-12,EST,S051
881100,Noita,Brazilian Portuguese,brazilian,1.0,2.0,1,2026-08-12,EST,S051
1457320,Techtonica,English,english,67.0,65.0,1,2026-08-12,EST,S051
