game_id,title,gross_revenue_usd,net_revenue_usd,copies_sold,displayed_gross,displayed_net,displayed_copies,captured_date,confidence_class,src_est
1637320,Dome Keeper,6000000,4000000,400000,$6M,$4M,400K,2026-08-12,EST,S051
252410,SteamWorld Dig,3000000,2000000,400000,$3M,$2M,400K,2026-08-12,EST,S051
571310,SteamWorld Dig 2,3000000,2000000,300000,$3M,$2M,300K,2026-08-12,EST,S051
1106840,Hydroneer,6000000,4000000,600000,$6M,$4M,600K,2026-08-12,EST,S051
1621690,Core Keeper,18000000,11000000,1200000,$18M,$11M,1.2M,2026-08-12,EST,S051
881100,Noita,28000000,17000000,1800000,$28M,$17M,1.8M,2026-08-12,EST,S051
1457320,Techtonica,2000000,1000000,80000,$2M,$1M,80K,2026-08-12,EST,S051
2392740,Cave Digger 2,10000,10000,,$10K,$10K,,2026-08-12,EST,S051
606150,Moonlighter,7000000,4000000,500000,$7M,$4M,500K,2026-08-12,EST,S051
361420,ASTRONEER,75000000,45000000,3200000,$75M,$45M,3.2M,2026-08-12,EST,S051
751780,Forager,16000000,9000000,1000000,$16M,$9M,1M,2026-08-12,EST,S051
1087760,The Gunk,2000000,1000000,200000,$2M,$1M,200K,2026-08-12,EST,S051
548430,Deep Rock Galactic,151000000,91000000,7500000,$151M,$91M,7.5M,2026-08-12,EST,S051
105600,Terraria,359000000,215000000,43900000,$359M,$215M,43.9M,2026-08-12,EST,S051
892970,Valheim,340000000,204000000,19400000,$340M,$204M,19.4M,2026-08-12,EST,S051
1167630,Teardown,59000000,35000000,2700000,$59M,$35M,2.7M,2026-08-12,EST,S051
753640,Outer Wilds,40000000,24000000,2000000,$40M,$24M,2M,2026-08-12,EST,S051
1203620,Enshrouded,135000000,81000000,5200000,$135M,$81M,5.2M,2026-08-12,EST,S051
962130,Grounded,60000000,36000000,2000000,$60M,$36M,2M,2026-08-12,EST,S051
1641960,Forever Skies,4000000,2000000,200000,$4M,$2M,200K,2026-08-12,EST,S051
1159690,Voidtrain,4000000,2000000,200000,$4M,$2M,200K,2026-08-12,EST,S051
251570,7 Days to Die,326000000,195000000,13400000,$326M,$195M,13.4M,2026-08-12,EST,S051
427410,Abiotic Factor,38000000,23000000,1600000,$38M,$23M,1.6M,2026-08-12,EST,S051
1374490,RuneScape: Dragonwilds,25000000,15000000,900000,$25M,$15M,900K,2026-08-12,EST,S051
1645820,SurrounDead,7000000,4000000,700000,$7M,$4M,700K,2026-08-12,EST,S051
221100,DayZ,489000000,293000000,14000000,$489M,$293M,14M,2026-08-12,EST,S051
1149460,ICARUS,41000000,25000000,1600000,$41M,$25M,1.6M,2026-08-12,EST,S051
1898300,ASKA,6000000,4000000,300000,$6M,$4M,300K,2026-08-12,EST,S051
