game_id,title,language,reviews,reviews_positive,reviews_negative,retrieved_date
1637320,Dome Keeper,arabic,0,0,0,2026-08-10
1637320,Dome Keeper,bulgarian,5,4,1,2026-08-10
1637320,Dome Keeper,schinese,2013,1675,338,2026-08-10
1637320,Dome Keeper,tchinese,156,129,27,2026-08-10
1637320,Dome Keeper,czech,76,74,2,2026-08-10
1637320,Dome Keeper,danish,22,22,0,2026-08-10
1637320,Dome Keeper,dutch,49,48,1,2026-08-10
1637320,Dome Keeper,english,13334,12456,878,2026-08-10
1637320,Dome Keeper,finnish,19,19,0,2026-08-10
1637320,Dome Keeper,french,623,586,37,2026-08-10
1637320,Dome Keeper,german,664,606,58,2026-08-10
1637320,Dome Keeper,greek,4,4,0,2026-08-10
1637320,Dome Keeper,hungarian,26,22,4,2026-08-10
1637320,Dome Keeper,indonesian,1,0,1,2026-08-10
1637320,Dome Keeper,italian,127,119,8,2026-08-10
1637320,Dome Keeper,japanese,193,157,36,2026-08-10
1637320,Dome Keeper,koreana,548,483,65,2026-08-10
1637320,Dome Keeper,malay,0,0,0,2026-08-10
1637320,Dome Keeper,norwegian,29,27,2,2026-08-10
1637320,Dome Keeper,polish,295,281,14,2026-08-10
1637320,Dome Keeper,portuguese,32,30,2,2026-08-10
1637320,Dome Keeper,brazilian,687,664,23,2026-08-10
1637320,Dome Keeper,romanian,5,5,0,2026-08-10
1637320,Dome Keeper,russian,1769,1632,137,2026-08-10
1637320,Dome Keeper,spanish,756,737,19,2026-08-10
1637320,Dome Keeper,latam,169,163,6,2026-08-10
1637320,Dome Keeper,swedish,52,47,5,2026-08-10
1637320,Dome Keeper,thai,23,23,0,2026-08-10
1637320,Dome Keeper,turkish,232,210,22,2026-08-10
1637320,Dome Keeper,ukrainian,132,128,4,2026-08-10
1637320,Dome Keeper,vietnamese,11,11,0,2026-08-10
252410,SteamWorld Dig,arabic,0,0,0,2026-08-10
252410,SteamWorld Dig,bulgarian,4,4,0,2026-08-10
252410,SteamWorld Dig,schinese,423,370,53,2026-08-10
252410,SteamWorld Dig,tchinese,79,72,7,2026-08-10
252410,SteamWorld Dig,czech,60,56,4,2026-08-10
252410,SteamWorld Dig,danish,8,7,1,2026-08-10
252410,SteamWorld Dig,dutch,15,14,1,2026-08-10
252410,SteamWorld Dig,english,5194,4808,386,2026-08-10
252410,SteamWorld Dig,finnish,8,8,0,2026-08-10
252410,SteamWorld Dig,french,275,257,18,2026-08-10
252410,SteamWorld Dig,german,332,311,21,2026-08-10
252410,SteamWorld Dig,greek,4,4,0,2026-08-10
252410,SteamWorld Dig,hungarian,59,58,1,2026-08-10
252410,SteamWorld Dig,indonesian,1,1,0,2026-08-10
252410,SteamWorld Dig,italian,117,109,8,2026-08-10
252410,SteamWorld Dig,japanese,88,80,8,2026-08-10
252410,SteamWorld Dig,koreana,111,98,13,2026-08-10
252410,SteamWorld Dig,malay,0,0,0,2026-08-10
252410,SteamWorld Dig,norwegian,3,3,0,2026-08-10
252410,SteamWorld Dig,polish,258,253,5,2026-08-10
252410,SteamWorld Dig,portuguese,34,33,1,2026-08-10
252410,SteamWorld Dig,brazilian,919,902,17,2026-08-10
252410,SteamWorld Dig,romanian,2,1,1,2026-08-10
252410,SteamWorld Dig,russian,1679,1565,114,2026-08-10
252410,SteamWorld Dig,spanish,823,805,18,2026-08-10
252410,SteamWorld Dig,latam,148,143,5,2026-08-10
252410,SteamWorld Dig,swedish,16,16,0,2026-08-10
252410,SteamWorld Dig,thai,21,20,1,2026-08-10
252410,SteamWorld Dig,turkish,166,150,16,2026-08-10
252410,SteamWorld Dig,ukrainian,113,109,4,2026-08-10
252410,SteamWorld Dig,vietnamese,4,2,2,2026-08-10
571310,SteamWorld Dig 2,arabic,1,1,0,2026-08-10
571310,SteamWorld Dig 2,bulgarian,1,1,0,2026-08-10
571310,SteamWorld Dig 2,schinese,743,674,69,2026-08-10
571310,SteamWorld Dig 2,tchinese,78,76,2,2026-08-10
571310,SteamWorld Dig 2,czech,36,36,0,2026-08-10
571310,SteamWorld Dig 2,danish,7,7,0,2026-08-10
571310,SteamWorld Dig 2,dutch,17,16,1,2026-08-10
571310,SteamWorld Dig 2,english,4506,4293,213,2026-08-10
571310,SteamWorld Dig 2,finnish,9,9,0,2026-08-10
571310,SteamWorld Dig 2,french,165,158,7,2026-08-10
571310,SteamWorld Dig 2,german,277,267,10,2026-08-10
571310,SteamWorld Dig 2,greek,1,1,0,2026-08-10
571310,SteamWorld Dig 2,hungarian,15,14,1,2026-08-10
571310,SteamWorld Dig 2,indonesian,1,1,0,2026-08-10
571310,SteamWorld Dig 2,italian,68,66,2,2026-08-10
571310,SteamWorld Dig 2,japanese,46,45,1,2026-08-10
571310,SteamWorld Dig 2,koreana,79,74,5,2026-08-10
571310,SteamWorld Dig 2,malay,0,0,0,2026-08-10
571310,SteamWorld Dig 2,norwegian,8,8,0,2026-08-10
571310,SteamWorld Dig 2,polish,186,179,7,2026-08-10
571310,SteamWorld Dig 2,portuguese,15,15,0,2026-08-10
571310,SteamWorld Dig 2,brazilian,518,510,8,2026-08-10
571310,SteamWorld Dig 2,romanian,3,3,0,2026-08-10
571310,SteamWorld Dig 2,russian,1359,1297,62,2026-08-10
571310,SteamWorld Dig 2,spanish,596,588,8,2026-08-10
571310,SteamWorld Dig 2,latam,121,118,3,2026-08-10
571310,SteamWorld Dig 2,swedish,13,13,0,2026-08-10
571310,SteamWorld Dig 2,thai,10,10,0,2026-08-10
571310,SteamWorld Dig 2,turkish,88,82,6,2026-08-10
571310,SteamWorld Dig 2,ukrainian,94,90,4,2026-08-10
571310,SteamWorld Dig 2,vietnamese,6,6,0,2026-08-10
1106840,Hydroneer,arabic,0,0,0,2026-08-10
1106840,Hydroneer,bulgarian,4,3,1,2026-08-10
1106840,Hydroneer,schinese,500,363,137,2026-08-10
1106840,Hydroneer,tchinese,47,37,10,2026-08-10
1106840,Hydroneer,czech,923,856,67,2026-08-10
1106840,Hydroneer,danish,120,104,16,2026-08-10
1106840,Hydroneer,dutch,283,268,15,2026-08-10
1106840,Hydroneer,english,20631,17826,2805,2026-08-10
1106840,Hydroneer,finnish,55,46,9,2026-08-10
1106840,Hydroneer,french,768,648,120,2026-08-10
1106840,Hydroneer,german,1795,1476,319,2026-08-10
1106840,Hydroneer,greek,6,5,1,2026-08-10
1106840,Hydroneer,hungarian,56,44,12,2026-08-10
1106840,Hydroneer,indonesian,0,0,0,2026-08-10
1106840,Hydroneer,italian,49,43,6,2026-08-10
1106840,Hydroneer,japanese,176,115,61,2026-08-10
1106840,Hydroneer,koreana,188,151,37,2026-08-10
1106840,Hydroneer,malay,0,0,0,2026-08-10
