language,survey_name,steam_share_pct,retrieved_date
english,English,39.61,2026-08-10
greek,Greek,0.06,2026-08-10
arabic,Arabic,0.0,2026-08-10
indonesian,Indonesian,0.16,2026-08-10
romanian,Romanian,0.12,2026-08-10
swedish,Swedish,0.26,2026-08-10
vietnamese,Vietnamese,0.24,2026-08-10
french,French,2.33,2026-08-10
hungarian,Hungarian,0.38,2026-08-10
german,German,2.82,2026-08-10
japanese,Japanese,2.43,2026-08-10
brazilian,Portuguese-Brazil,4.38,2026-08-10
spanish,Spanish - Spain,4.91,2026-08-10
russian,Russian,9.3,2026-08-10
schinese,Simplified Chinese,22.52,2026-08-10
polish,Polish,1.74,2026-08-10
czech,Czech,0.55,2026-08-10
koreana,Korean,1.45,2026-08-10
portuguese,Portuguese - Portugal,0.36,2026-08-10
tchinese,Traditional Chinese,1.33,2026-08-10
dutch,Dutch,0.26,2026-08-10
turkish,Turkish,1.24,2026-08-10
danish,Danish,0.21,2026-08-10
latam,Spanish - Latin America,0.89,2026-08-10
finnish,Finnish,0.14,2026-08-10
thai,Thai,0.85,2026-08-10
norwegian,Norwegian,0.11,2026-08-10
ukrainian,Ukrainian,0.7,2026-08-10
bulgarian,Bulgarian,0.04,2026-08-10
italian,Italian,0.63,2026-08-10
malay,Malay,0.0,2026-08-10
